blink_rate,fixation_duration,fixation_frequency,saccadic_velocity,gaze_variability,dispersion,pupil_diameter,tear_breakup_time
43.98599392,0,0,0,"(0.0, 0.0)",0,3,15
61.3400622,0,0,0,"(nan, nan)",,3,15
39.15738128,6.849704742,1,0,"(0.01909858273695256, 0.06024421364842421)",0.052467905,3,15
36.97697749,0,0,0,"(nan, nan)",,3,15
25.58190213,12.66974759,1,0,"(0.027260953237885768, 0.07179634959285114)",0.068877058,3,15
63.62268641,0,0,0,"(nan, nan)",,3,15
34.37600818,0,0,0,"(nan, nan)",,3,15
24.27758564,0,0,0,"(nan, nan)",,3,15
108.8677926,10.88130689,1,0.091900726,"(0.03410857201730683, 0.08411670792077187)",0.065907324,3,15
46.79664503,14.25993729,1,0,"(0.02992758853364339, 0.06372979892585713)",0.06076164,3,15
36.21547944,19.07548475,1,0,"(0.020259275303047858, 0.0667489259980355)",0.052362951,3,15
31.98986033,11.9684782,1,0,"(0.020790680790573415, 0.06845963877028158)",0.056568559,3,15
18.31698623,8.696071863,1,0.11499445,"(0.01350723590213828, 0.08126096653577677)",0.060357951,3,15
42.37782335,8.694777966,1,0.575057813,"(0.023504131100166636, 0.07187236609870028)",0.058161399,3,15
26.70669055,8.206730366,1,0,"(0.01580327487446576, 0.14149105844024243)",0.092685127,3,15
20.28328286,10.97512507,1,0,"(0.010564006963126642, 0.10267102677533163)",0.061991893,3,15
22.77091968,0,0,0,"(nan, nan)",,3,15
20.55260667,57.0168159,2,0.350773709,"(0.05506139310501787, 0.0906878634968066)",0.084834062,3,15
51.57494077,0,0,0,"(nan, nan)",,3,15
51.59434345,0,0,0,"(nan, nan)",,3,15
42.10176527,17.45440531,2,0.229168507,"(0.028386348348294423, 0.08970406515671395)",0.071111365,3,15
55.64033076,37.39680982,18,0.668506221,"(0.0274760258184408, 0.12435335534748065)",0.098310106,3,15
49.93164198,53.61448073,28,0.876628839,"(0.05889340555550649, 0.2492640872783602)",0.21093018,3,15
88.21476308,14.8686018,34,2.017674587,"(0.04516001364438611, 0.16492489532895535)",0.149669492,3,15
31.74324082,34.58820295,10,0.462585467,"(0.03793217096804329, 0.2055592727745288)",0.184687865,3,15
11.11107486,17.71452165,7,0.733861194,"(0.05483080494738172, 0.10946662901144291)",0.08959531,3,15
38.47472815,17.5871253,3,0.227439103,"(0.03452547607964696, 0.11104975695578137)",0.092165446,3,15
19.11415349,39.54575992,19,1.213783731,"(0.09243921751707068, 0.15915105638716281)",0.157720134,3,15
46.31506794,63.80992198,2,0.047014632,"(0.06186953628359006, 0.11906908232981367)",0.111881248,3,15
60.27267236,6.102599382,12,2.294104384,"(0.06942370772069292, 0.14912702763294872)",0.122973641,3,15
33.60342081,11.24236917,10,0.889492228,"(0.03473093789254816, 0.06709401618564216)",0.061361257,3,15
32.51618711,15.75183463,3,0.126969337,"(0.040042723864351315, 0.05651220013393576)",0.056294279,3,15
31.44277898,6.444879293,3,0.310323888,"(0.027684575534289362, 0.04974610407085621)",0.044346017,3,15
19.15330962,8.285390854,2,0.241388733,"(0.03079398429988313, 0.05959012511964286)",0.057798146,3,15
22.30764486,21.87625217,3,0.548540029,"(0.029180968049524407, 0.12375025775950804)",0.108288717,3,15
22.26989772,7.314437389,1,0,"(0.01451996676096231, 0.047718187674232124)",0.04417112,3,15
26.07989565,8.019641638,1,0,"(0.017304482290861067, 0.06660572604281932)",0.056711438,3,15
43.450498,10.06150556,2,0.397554817,"(0.023130780040207317, 0.060167307679829446)",0.049908209,3,15
23.37639885,14.55428195,1,0,"(0.013948886185809256, 0.05490597899523988)",0.047582499,3,15
